demo_key,sex,age,age category
1,Male,<5 years,Children (0-14)
2,Female,<5 years,Children (0-14)
3,Male,5-9 years,Children (0-14)
4,Female,5-9 years,Children (0-14)
5,Male,10-14 years,Children (0-14)
6,Female,10-14 years,Children (0-14)
7,Male,15-19 years,Youth (15-24)
8,Female,15-19 years,Youth (15-24)
9,Male,20-24 years,Youth (15-24)
10,Female,20-24 years,Youth (15-24)
11,Male,25-29 years,Adults (25-64)
12,Female,25-29 years,Adults (25-64)
13,Male,30-34 years,Adults (25-64)
14,Female,30-34 years,Adults (25-64)
15,Male,35-39 years,Adults (25-64)
16,Female,35-39 years,Adults (25-64)
17,Male,40-44 years,Adults (25-64)
18,Female,40-44 years,Adults (25-64)
19,Male,45-49 years,Adults (25-64)
20,Female,45-49 years,Adults (25-64)
21,Male,50-54 years,Adults (25-64)
22,Female,50-54 years,Adults (25-64)
23,Male,55-59 years,Adults (25-64)
24,Female,55-59 years,Adults (25-64)
25,Male,60-64 years,Adults (25-64)
26,Female,60-64 years,Adults (25-64)
27,Male,65-69 years,Seniors (65+)
28,Female,65-69 years,Seniors (65+)
29,Male,70-74 years,Seniors (65+)
30,Female,70-74 years,Seniors (65+)
31,Male,75-79 years,Seniors (65+)
32,Female,75-79 years,Seniors (65+)
33,Male,<1 year,Children (0-14)
34,Female,<1 year,Children (0-14)
35,Male,80-84 years,Seniors (65+)
36,Female,80-84 years,Seniors (65+)
37,Male,2-4 years,Children (0-14)
38,Female,2-4 years,Children (0-14)
39,Male,85+ years,Seniors (65+)
40,Female,85+ years,Seniors (65+)
