macro_key,% GDP growth,% Inflation,"Population, total",PM2_5,Year
1,0.052,0.113,84107606,82,2010
2,0.018,0.101,85897561,83,2011
3,0.022,0.071,87813257,85,2012
4,0.022,0.094,89807433,86,2013
5,0.029,0.101,91812566,82,2014
6,0.044,0.104,93778172,80,2015
7,0.044,0.138,95688681,66,2016
8,0.042,0.295,97553151,75,2017
9,0.053,0.144,105682094,72,2018
10,0.056,0.092,107553158,68,2019
11,0.036,0.050,109315124,44,2020
12,0.033,0.052,110957008,50,2021
13,0.066,0.139,112618250,47,2022
14,0.038,0.339,114535772,47,2023
15,0.024,0.283,116538258,42,2024
16,0.044,0.121,118365995,41,2025
